[1680899842100, [-0.37, 8.151, 5.643], [-0.000843, -0.003058, 0.011991]]
[1680899842120, [-0.364, 8.174, 5.674], [-0.00161, -0.002988, 0.01296]]
[1680899842140, [-0.374, 8.141, 5.679], [0.000155, -0.003017, 0.011428]]
[1680899842160, [-0.369, 8.168, 5.723], [-0.000244, -0.001412, 0.010954]]
[1680899842180, [-0.382, 8.148, 5.69], [-5.9e-05, -0.003489, 0.012398]]
[1680899842200, [-0.39, 8.137, 5.663], [-0.000281, -0.001775, 0.011902]]
[1680899842220, [-0.37, 8.131, 5.684], [-0.001178, -0.003647, 0.011205]]
[1680899842240, [-0.404, 8.12, 5.657], [-0.001245, -0.00153, 0.011068]]
[1680899842260, [-0.365, 8.18, 5.706], [9.3e-05, -0.002045, 0.011355]]
[1680899842280, [-0.37, 8.133, 5.696], [-0.001258, -0.000625, 0.011614]]
[1680899842300, [-0.375, 8.156, 5.683], [-0.001319, -0.002163, 0.011528]]
[1680899842320, [-0.37, 8.146, 5.679], [-0.001177, -0.001769, 0.012763]]
[1680899842340, [-0.363, 8.125, 5.712], [0.000415, -0.002909, 0.011217]]
[1680899842360, [-0.384, 8.153, 5.723], [0.000678, -0.002797, 0.012226]]
[1680899842380, [-0.362, 8.155, 5.632], [-0.001908, -0.001489, 0.012869]]
[1680899842400, [-0.382, 8.166, 5.669], [0.000159, -0.003236, 0.011712]]
[1680899842420, [-0.378, 8.168, 5.687], [-0.000483, -0.003, 0.012356]]
[1680899842440, [-0.383, 8.124, 5.666], [-0.0014, -0.001988, 0.013185]]
[1680899842460, [-0.379, 8.155, 5.678], [-0.001005, -0.001962, 0.011755]]
[1680899842480, [-0.374, 8.147, 5.693], [-0.000466, -0.002228, 0.012534]]
[1680899842500, [-0.377, 8.145, 5.711], [-0.002662, -0.001992, 0.012078]]
[1680899842520, [-0.376, 8.14, 5.7], [0.002215, -0.003021, 0.011715]]
[1680899842540, [-0.351, 8.157, 5.706], [0.0005, -0.002559, 0.013144]]
[1680899842560, [-0.38, 8.152, 5.676], [-0.002277, -0.002553, 0.011689]]
[1680899842580, [-0.402, 8.144, 5.661], [-0.000349, -0.002729, 0.010791]]
[1680899842600, [-0.378, 8.133, 5.71], [-0.001009, -0.002366, 0.011555]]
[1680899842620, [-0.4, 8.132, 5.653], [-0.001003, -0.001566, 0.011878]]
[1680899842640, [-0.391, 8.13, 5.711], [0.001292, -0.000433, 0.010129]]
[1680899842660, [-0.394, 8.129, 5.717], [-0.002101, -0.001428, 0.013326]]
[1680899842680, [-0.376, 8.153, 5.656], [-0.000475, -0.002194, 0.011011]]
[1680899842700, [-0.37, 8.158, 5.718], [-3.1e-05, -0.002515, 0.011202]]
[1680899842720, [-0.381, 8.159, 5.686], [-0.003289, -0.002646, 0.011372]]
[1680899842740, [-0.359, 8.155, 5.696], [-4.2e-05, -0.0016, 0.012132]]
[1680899842760, [-0.391, 8.146, 5.651], [-0.000588, -0.002663, 0.011701]]
[1680899842780, [-0.371, 8.128, 5.702], [-0.000949, -0.0025, 0.011768]]
[1680899842800, [-0.397, 8.17, 5.727], [-0.001481, -0.002652, 0.012358]]
[1680899842820, [-0.372, 8.121, 5.641], [-0.000814, -0.002908, 0.011816]]
[1680899842840, [-0.386, 8.153, 5.717], [0.000985, -0.003173, 0.011926]]
[1680899842860, [-0.418, 8.152, 5.67], [-0.000449, -0.001594, 0.011604]]
[1680899842880, [-0.398, 8.155, 5.717], [-0.000842, -0.00295, 0.012625]]
[1680899842900, [-0.392, 8.155, 5.677], [-0.001661, -0.002725, 0.010961]]
[1680899842920, [-0.382, 8.151, 5.693], [0.000245, -0.00109, 0.01137]]
